lab_turbidity_ntu
lab_tss_mg_l
lab_doc_mg_l
lab_toc_mg_l
lab_nsol_mg_l
lab_ntot_mg_l
lab_nh4_mg_l
lab_po4_mg_l
lab_so4_mg_l
